sleepIn, hecho 
monkeyTrouble, hecho 	 
sumDouble, hecho 
diff21, hecho	 
parrotTrouble, hecho 	 
makes10, hecho
nearHundred, hecho	 
posNeg, hecho
notString, hecho
missingChar, hecho 
frontBack, hecho	 
front3, hecho
backAround, hecho	 
or35, hecho	 
front22, hecho
startHi, hecho 
icyHot,	hecho 
in1020, hecho
hasTeen, hecho	 
loneTeen, hecho	 
delDel, hecho
mixStart, hecho	 
startOz, hecho 
intMax, hecho
close10, hecho	 
in3050, hecho	 
max1020, hecho
stringE, hecho	 
lastDigit, hecho	 
endUp, hecho
everyNth, hecho
